datos/index,datos/nombre,datos/apellido,datos/edad,datos/gender,datos/email,datos/phone,datos/address,datos/about,datos/matriculado,datos/cursos/0/id,datos/cursos/0/curso,datos/cursos/0/nota,datos/cursos/1/id,datos/cursos/1/curso,datos/cursos/1/nota,datos/cursos/2/id,datos/cursos/2/curso,datos/cursos/2/nota,datos/cursos/3/id,datos/cursos/3/curso,datos/cursos/3/nota
10,Georgina,Curry,38,female,georginacurry@pathways.com,+1 (809) 510-2737,"521 Havemeyer Street, Cecilia, Ohio, 6719","Magna amet duis laboris esse aliquip occaecat esse ea incididunt commodo eu quis. Incididunt ad nisi ut aliqua sit commodo ipsum nostrud reprehenderit. Deserunt fugiat tempor sunt officia laborum proident elit pariatur adipisicing duis amet occaecat sint eiusmod. Fugiat aute culpa commodo magna aliqua adipisicing labore ullamco dolor laboris cillum. Consectetur et qui consequat cupidatat sint cillum proident in dolor fugiat commodo ipsum adipisicing velit. Commodo voluptate voluptate ea incididunt et qui mollit.
",2017-08-15T12:14:02 +05:00,0,Algebra lineal,1.2092,1,Calculo diferencial,2.7476,2,POO,3.698,3,CTD,4.9502
11,Gutierrez,Todd,31,male,gutierreztodd@pathways.com,+1 (917) 487-2506,"537 Sunnyside Court, Sharon, Guam, 5363","Mollit ut ut nisi id incididunt fugiat ex ex culpa dolor. Occaecat consequat sit ad eiusmod do et ut irure officia non minim quis quis. Consectetur quis esse consequat aute sunt aliquip exercitation. Sint veniam sunt amet eu nisi deserunt veniam enim minim aliquip anim occaecat. Culpa minim reprehenderit sunt nisi sit do cillum do cillum amet.
",2015-04-27T07:03:03 +05:00,0,Algebra lineal,1.1729,1,Calculo diferencial,3.3553,2,POO,3.5038,3,CTD,3.4995
12,Juliette,Morrison,35,female,juliettemorrison@pathways.com,+1 (817) 460-2557,"640 Howard Alley, Winchester, Northern Mariana Islands, 9074","Aliquip ullamco velit anim laborum in aliquip in. Qui sint tempor eiusmod nostrud deserunt dolore est incididunt aute aute ipsum eu nostrud eiusmod. Ut Lorem ad pariatur excepteur commodo pariatur incididunt nulla velit consectetur eu est laborum dolore. Qui eu nisi nulla veniam est aliqua esse labore est anim.
",2020-08-02T05:51:35 +05:00,0,Algebra lineal,4.7219,1,Calculo diferencial,3.0067,2,POO,1.5281,3,CTD,3.4373
13,Mckinney,Lyons,39,male,mckinneylyons@pathways.com,+1 (879) 460-2518,"957 College Place, Oberlin, West Virginia, 8314","Ad ea labore duis fugiat sint consequat excepteur ipsum ea proident consectetur. Pariatur laborum eiusmod nostrud deserunt magna sint elit dolore. Dolore minim dolor voluptate eiusmod fugiat officia ex fugiat eu sunt quis consequat. Nostrud sit occaecat eu culpa sit exercitation labore commodo. Anim deserunt non occaecat laborum enim veniam ipsum reprehenderit consectetur eiusmod. Velit reprehenderit et deserunt aliqua proident anim exercitation consectetur. Et irure veniam consequat eiusmod officia adipisicing ad ut id ea mollit nisi consequat quis.
",2018-04-08T07:02:36 +05:00,0,Algebra lineal,4.8165,1,Calculo diferencial,0.2072,2,POO,1.8532,3,CTD,3.136
14,Vargas,Beach,34,male,vargasbeach@pathways.com,+1 (982) 409-2757,"579 Schenck Court, National, North Carolina, 8660","Dolor cupidatat culpa labore velit est consequat proident minim exercitation esse qui irure. Laborum nostrud ex minim irure minim. Ea id qui commodo adipisicing consequat duis aute dolore cillum do sit veniam adipisicing esse. Incididunt anim consequat eu ex enim eu veniam eiusmod deserunt. Elit tempor non nostrud cupidatat eiusmod id quis est mollit non tempor. Ipsum quis sint aliqua eiusmod enim esse. Sint nulla dolor tempor ut sit non non exercitation duis consectetur.
",2016-08-05T05:06:19 +05:00,0,Algebra lineal,3.5508,1,Calculo diferencial,4.6641,2,POO,0.1861,3,CTD,1.8441
15,Wells,Walton,33,male,wellswalton@pathways.com,+1 (981) 439-3525,"704 Fanchon Place, Sisquoc, South Dakota, 4781","Officia pariatur officia ut incididunt. Deserunt consequat laborum exercitation occaecat incididunt est occaecat voluptate ut ullamco velit laboris. Eu qui aute voluptate fugiat amet in ut ullamco cillum cillum voluptate. Nostrud voluptate aute est laborum ipsum ipsum. Ut adipisicing non est exercitation eiusmod esse eu ex ad ut laborum aute elit.
",2021-03-14T10:09:12 +05:00,0,Algebra lineal,1.5349,1,Calculo diferencial,4.998,2,POO,1.6591,3,CTD,2.9713
16,Lina,Stephenson,35,female,linastephenson@pathways.com,+1 (891) 519-3570,"621 Hubbard Place, Nogal, Tennessee, 2153","Nisi ut proident excepteur ea non enim pariatur fugiat ipsum ex voluptate sunt. Ad aliquip ullamco non dolore dolor mollit quis amet proident irure ipsum eiusmod. Veniam aliquip excepteur nisi sunt velit laboris laboris ipsum sint. Enim aute esse non consectetur elit sint reprehenderit incididunt amet nostrud velit esse. Ea consectetur dolore nulla duis irure consequat in ullamco laborum et sunt. Voluptate occaecat Lorem eu magna. Aliqua laboris anim deserunt eu.
",2016-08-05T11:56:58 +05:00,0,Algebra lineal,3.0874,1,Calculo diferencial,1.5248,2,POO,2.8538,3,CTD,1.5844
17,Lucille,Baxter,22,female,lucillebaxter@pathways.com,+1 (933) 574-2646,"683 Hart Place, Kennedyville, Texas, 756","Ea occaecat duis magna voluptate voluptate. Dolore proident ea aute dolor reprehenderit nulla. Anim ad fugiat deserunt nisi esse labore dolor labore nisi elit. Labore consequat eu id ea cupidatat sunt eiusmod in eu aliquip consequat sit cupidatat. Est adipisicing mollit minim excepteur deserunt culpa irure reprehenderit reprehenderit.
",2020-12-31T04:40:39 +05:00,0,Algebra lineal,4.788,1,Calculo diferencial,0.9829,2,POO,3.113,3,CTD,2.1322
18,Latasha,Kelly,37,female,latashakelly@pathways.com,+1 (938) 473-3557,"364 Freeman Street, Nadine, Oregon, 1736","Sunt cillum qui elit exercitation laborum officia non in anim pariatur exercitation voluptate magna. Sint velit ut esse veniam aliqua mollit Lorem consequat velit velit ut consectetur. Amet nostrud eiusmod esse consectetur velit. Aliquip et sint amet nulla laborum incididunt elit tempor mollit ex velit. Nostrud sit enim laboris culpa velit ea. Fugiat mollit sunt labore proident laborum quis ex anim exercitation sint officia laboris eiusmod occaecat. Veniam commodo amet quis cupidatat dolore velit nulla duis labore qui.
",2014-03-13T07:48:20 +05:00,0,Algebra lineal,4.3908,1,Calculo diferencial,1.8545,2,POO,2.4728,3,CTD,3.1518
19,Deanna,Cobb,37,female,deannacobb@pathways.com,+1 (893) 427-2761,"132 Boulevard Court, Dahlen, Michigan, 5497","Reprehenderit reprehenderit eu occaecat laborum qui qui duis do et anim sit adipisicing. Ut consectetur occaecat sunt elit Lorem. Nulla labore dolore tempor mollit exercitation eiusmod adipisicing ex aliquip commodo. Veniam cupidatat officia aliqua dolor dolore incididunt. Fugiat minim deserunt proident est in reprehenderit quis laboris pariatur deserunt aliqua ut in ipsum.
",2020-09-07T11:27:29 +05:00,0,Algebra lineal,2.2307,1,Calculo diferencial,1.2262,2,POO,1.3135,3,CTD,0.0726
20,Mills,Keith,31,male,millskeith@pathways.com,+1 (892) 446-3159,"178 Nostrand Avenue, Russellville, Alaska, 8066","Ullamco in eiusmod magna fugiat elit commodo nostrud mollit culpa ipsum cillum. Nisi labore pariatur dolore reprehenderit eiusmod aliquip reprehenderit aliqua aliquip do nostrud. Ex velit pariatur occaecat aute nostrud do dolor minim velit do non. Cillum ipsum aliquip non id. Eu ad eiusmod Lorem est Lorem cupidatat nulla do est aliquip aliqua ipsum voluptate nisi. Labore nostrud qui aliqua irure reprehenderit dolore voluptate tempor nisi deserunt aliquip fugiat irure laborum.
",2014-01-07T05:36:59 +05:00,0,Algebra lineal,2.5207,1,Calculo diferencial,4.9967,2,POO,1.6735,3,CTD,0.4072
21,Watkins,Bolton,40,male,watkinsbolton@pathways.com,+1 (884) 450-3666,"701 Scholes Street, Fivepointville, North Dakota, 2966","Consequat officia ut anim sit enim aliqua occaecat cupidatat. Culpa ullamco incididunt esse minim. Veniam quis cillum mollit et deserunt nulla. Qui proident cillum officia quis ea consectetur veniam magna occaecat. Tempor reprehenderit ullamco aute sunt incididunt sint exercitation eu sit sunt aliquip in ullamco ullamco.
",2017-02-10T12:37:55 +05:00,0,Algebra lineal,1.3132,1,Calculo diferencial,0.623,2,POO,2.9511,3,CTD,0.4377
22,Zimmerman,Padilla,32,male,zimmermanpadilla@pathways.com,+1 (863) 453-2901,"420 Huron Street, Ripley, New Jersey, 9159","Deserunt occaecat enim ullamco non tempor reprehenderit sit commodo. Voluptate reprehenderit culpa qui est. Aute nulla qui quis commodo consectetur occaecat sint sint. Culpa et eiusmod sunt est ad mollit magna reprehenderit voluptate ea commodo. Adipisicing quis tempor fugiat laborum quis eiusmod qui. Nulla nulla pariatur qui veniam elit et duis Lorem cillum ullamco eu et adipisicing sunt.
",2022-07-01T08:20:02 +05:00,0,Algebra lineal,0.4884,1,Calculo diferencial,4.4845,2,POO,3.0863,3,CTD,1.1893
23,Johnson,Gallegos,25,male,johnsongallegos@pathways.com,+1 (826) 485-3516,"683 Love Lane, Brule, Arkansas, 8550","Ad occaecat ex dolore aliquip sint exercitation est eu aliqua. Ad enim minim ex aliqua. Enim aute commodo nostrud laborum deserunt cupidatat dolor anim consectetur qui aliqua esse id elit. Qui aliqua nisi labore amet. Reprehenderit dolore sit ut labore aliqua in excepteur deserunt eiusmod irure veniam commodo minim. Est quis officia aliqua excepteur officia tempor id elit. Labore nulla elit proident aute pariatur reprehenderit sint nulla voluptate laboris quis excepteur elit.
",2017-09-10T09:53:33 +05:00,0,Algebra lineal,1.4312,1,Calculo diferencial,2.6988,2,POO,3.2503,3,CTD,4.4574
24,Estela,Blankenship,38,female,estelablankenship@pathways.com,+1 (989) 545-2072,"474 Village Road, Monument, Georgia, 6552","Labore minim ipsum proident anim. Sint ea commodo velit dolore anim amet occaecat. Minim aute sit aliqua officia dolore duis labore. Nisi mollit sunt adipisicing aliqua commodo cillum esse ea proident reprehenderit.
",2021-10-09T05:46:21 +05:00,0,Algebra lineal,0.6705,1,Calculo diferencial,4.3403,2,POO,1.8417,3,CTD,3.305
25,Flora,Key,38,female,florakey@pathways.com,+1 (898) 474-2799,"116 Charles Place, Rosine, New York, 7668","In tempor pariatur pariatur et ex fugiat culpa nulla dolore eiusmod. Amet commodo duis duis do dolore in. Fugiat mollit dolore tempor esse sunt proident officia dolor eiusmod labore elit. Enim incididunt tempor sint incididunt ad minim mollit elit esse tempor in. Occaecat adipisicing fugiat magna cupidatat cillum ipsum ut. Quis consectetur commodo consequat laborum ipsum.
",2022-02-12T09:22:28 +05:00,0,Algebra lineal,4.2294,1,Calculo diferencial,4.9012,2,POO,3.6544,3,CTD,1.1517
26,Cannon,Deleon,21,male,cannondeleon@pathways.com,+1 (974) 498-3609,"479 Canal Avenue, Eastvale, American Samoa, 1615","Officia commodo enim et duis enim ut do incididunt deserunt quis quis fugiat aute proident. In cupidatat ex occaecat tempor labore est ut aliquip excepteur mollit incididunt excepteur laborum. Aliquip Lorem cillum veniam deserunt nostrud laboris exercitation velit dolor aute commodo esse. Veniam consectetur exercitation anim fugiat occaecat cupidatat labore eu aliqua sunt voluptate exercitation proident sunt. Exercitation exercitation sit enim minim. Officia cupidatat nisi laborum culpa ut ad labore qui dolor ea.
",2016-05-23T01:51:33 +05:00,0,Algebra lineal,0.4607,1,Calculo diferencial,1.4358,2,POO,0.6765,3,CTD,1.4897
27,Guerra,Pope,34,male,guerrapope@pathways.com,+1 (853) 593-3354,"830 Chestnut Avenue, Layhill, Delaware, 7853","Est minim duis cillum labore consectetur laboris duis do proident laboris anim fugiat. Pariatur sit do eiusmod aliquip eu id pariatur velit consectetur laborum qui incididunt consequat veniam. Commodo veniam veniam aliquip occaecat nostrud est exercitation culpa consectetur minim. Id nisi fugiat officia exercitation laborum. Amet sint adipisicing pariatur occaecat commodo sit. Elit ipsum in consequat velit sunt. Reprehenderit est aliqua elit proident nulla voluptate cupidatat non est elit exercitation incididunt.
",2022-01-21T05:55:25 +05:00,0,Algebra lineal,3.1227,1,Calculo diferencial,1.9836,2,POO,1.838,3,CTD,2.6231
28,Carolyn,Garza,40,female,carolyngarza@pathways.com,+1 (886) 533-2660,"430 Powell Street, Fairforest, Federated States Of Micronesia, 2100","Quis id quis labore pariatur aliqua. Nisi labore cupidatat non ad ex tempor aliquip cupidatat duis velit officia. Eiusmod sit non ea in ex non ex in quis dolore consectetur occaecat. Ipsum aliqua Lorem incididunt proident aliqua velit pariatur reprehenderit eiusmod Lorem laboris labore aliqua. Reprehenderit occaecat ex excepteur cupidatat sint officia proident proident consectetur fugiat. Ex nostrud quis consectetur ipsum sint tempor duis aute pariatur qui sit laborum. Esse ex ipsum cillum veniam voluptate.
",2018-06-15T11:23:03 +05:00,0,Algebra lineal,4.6619,1,Calculo diferencial,2.7593,2,POO,0.8649,3,CTD,4.9224
29,Joann,Boyd,40,female,joannboyd@pathways.com,+1 (868) 544-2085,"895 Harman Street, Smock, Kentucky, 8075","Sunt nostrud mollit consequat quis aliquip duis in sunt. Et anim laboris duis consectetur occaecat nostrud ad reprehenderit. In qui nostrud enim duis labore elit velit pariatur sit velit do reprehenderit anim.
",2017-07-17T05:44:00 +05:00,0,Algebra lineal,3.1422,1,Calculo diferencial,1.427,2,POO,0.7384,3,CTD,2.5488
30,Esmeralda,Puckett,35,female,esmeraldapuckett@pathways.com,+1 (891) 438-3787,"567 River Street, Galesville, California, 2641","Est dolor officia sint eu exercitation. Elit elit cillum et laborum. In ullamco ad eiusmod aute reprehenderit est culpa est laboris eiusmod. Occaecat sit reprehenderit elit consectetur esse nisi est laboris.
",2020-09-25T04:06:39 +05:00,0,Algebra lineal,3.2783,1,Calculo diferencial,0.2507,2,POO,2.4572,3,CTD,4.0541
31,Heather,Shepard,21,female,heathershepard@pathways.com,+1 (871) 413-3891,"631 Balfour Place, Martell, Louisiana, 2247","Ad exercitation eiusmod non ipsum esse in consectetur pariatur esse. Irure pariatur amet cupidatat deserunt dolore. Velit consequat labore fugiat esse exercitation nostrud aliquip. Nisi laborum nulla amet elit ullamco voluptate sunt ea voluptate labore consectetur cupidatat pariatur eu.
",2016-12-04T01:15:57 +05:00,0,Algebra lineal,4.2698,1,Calculo diferencial,0.7899,2,POO,2.97,3,CTD,2.4389
32,Bowers,Wynn,26,male,bowerswynn@pathways.com,+1 (803) 514-3918,"375 Monument Walk, Fowlerville, Pennsylvania, 9798","Non nisi anim do consequat sint elit ea cillum. Magna labore anim officia officia officia pariatur dolor. Consequat ad laborum dolore minim sint aliquip labore. Exercitation eiusmod sint reprehenderit aliquip quis adipisicing Lorem. Excepteur magna incididunt excepteur esse veniam ullamco nulla sit. Eu duis nulla id veniam reprehenderit et. Anim exercitation nulla ipsum consectetur sit.
",2014-05-29T10:43:01 +05:00,0,Algebra lineal,2.2699,1,Calculo diferencial,2.6867,2,POO,3.8107,3,CTD,1.1115
33,Gayle,Lowe,22,female,gaylelowe@pathways.com,+1 (804) 443-2265,"742 Madison Place, Sunriver, Washington, 8953","Elit culpa esse enim voluptate tempor officia consequat et eu ea commodo. Culpa dolore esse aliqua aliquip incididunt et. Officia eu ullamco ex et nulla ea. Ea id eu non Lorem consequat eiusmod ad voluptate laborum sunt incididunt duis veniam.
",2017-04-13T05:03:48 +05:00,0,Algebra lineal,3.2867,1,Calculo diferencial,0.4158,2,POO,1.6423,3,CTD,0.3811
34,Josie,Maddox,24,female,josiemaddox@pathways.com,+1 (861) 565-2529,"158 Glendale Court, Laurelton, South Carolina, 1495","Id exercitation dolor cillum dolor voluptate elit. Ea cupidatat dolore quis sint. Dolore nostrud anim anim ipsum ipsum et enim. Sunt voluptate ad qui incididunt ut cillum amet in quis sit esse dolor occaecat cillum.
",2020-12-24T04:32:28 +05:00,0,Algebra lineal,4.0909,1,Calculo diferencial,3.9508,2,POO,4.9389,3,CTD,3.2602
35,Shelia,Johnson,20,female,sheliajohnson@pathways.com,+1 (901) 501-2573,"823 Lexington Avenue, Onton, Florida, 8349","Ipsum mollit aliqua elit ex do esse qui consectetur voluptate id. Dolore aliquip adipisicing exercitation do laborum veniam do laboris irure. Ex fugiat duis anim exercitation eu sit ad. Excepteur adipisicing culpa reprehenderit eu deserunt reprehenderit.
",2021-10-17T03:54:50 +05:00,0,Algebra lineal,3.8317,1,Calculo diferencial,2.5079,2,POO,0.1364,3,CTD,2.0561
36,Margery,Brown,35,female,margerybrown@pathways.com,+1 (881) 484-3345,"727 Carroll Street, Orin, Connecticut, 3767","Irure aliquip proident fugiat duis ipsum non commodo cupidatat. Ut dolor mollit nulla ad occaecat adipisicing aliquip aute aliqua. Tempor tempor ipsum non ut sint sunt laborum do et mollit velit voluptate consequat est. Amet qui incididunt cillum cupidatat consequat ullamco incididunt in elit exercitation ea labore aliquip. Ex officia magna est exercitation occaecat. Esse eu enim officia do eu voluptate irure dolore irure mollit elit irure labore.
",2020-06-16T04:40:49 +05:00,0,Algebra lineal,0.6094,1,Calculo diferencial,2.5232,2,POO,0.3287,3,CTD,3.2857
37,Donovan,Payne,35,male,donovanpayne@pathways.com,+1 (921) 417-2492,"914 Varick Street, Konterra, Rhode Island, 9381","Laborum proident ex amet sint irure quis officia fugiat commodo adipisicing. Minim reprehenderit elit nulla do occaecat laboris. Sint mollit commodo sunt Lorem ut enim qui. Aute velit duis dolore cupidatat magna. Aliqua ea esse sit consequat. Est id id nulla culpa ullamco non id dolore. Ut et sit incididunt aute amet culpa.
",2018-03-14T10:51:19 +05:00,0,Algebra lineal,4.3927,1,Calculo diferencial,3.3613,2,POO,2.5056,3,CTD,1.8206
38,Landry,Ratliff,28,male,landryratliff@pathways.com,+1 (888) 429-3102,"573 Chester Avenue, Oley, Illinois, 2677","Sit reprehenderit sunt quis commodo ex reprehenderit voluptate incididunt laboris labore dolor magna. Duis labore eiusmod veniam laboris. Minim fugiat tempor consequat officia eu eu ullamco ad. Ex laborum deserunt est magna reprehenderit tempor exercitation Lorem eu consectetur dolor aliqua. Id sunt sit deserunt ea. Proident voluptate sit et dolor excepteur est cillum non.
",2019-07-19T09:33:15 +05:00,0,Algebra lineal,4.3928,1,Calculo diferencial,1.9155,2,POO,0.7916,3,CTD,4.3624
39,Estrada,Solomon,31,male,estradasolomon@pathways.com,+1 (945) 466-3167,"175 Conklin Avenue, Edmund, Marshall Islands, 5888","Ea consectetur esse esse qui et ipsum culpa. Aliqua aliqua nisi nulla in dolor. Proident fugiat ipsum pariatur laborum sunt veniam est officia esse in commodo. Ut sit qui sunt anim nostrud voluptate magna aliqua do reprehenderit aute reprehenderit nulla. Veniam laborum consectetur consectetur non consectetur ut laboris occaecat laborum fugiat enim incididunt quis quis.
",2017-02-25T05:15:43 +05:00,0,Algebra lineal,4.2652,1,Calculo diferencial,1.8714,2,POO,2.7725,3,CTD,2.7345
40,Abbott,Hawkins,20,male,abbotthawkins@pathways.com,+1 (857) 527-2554,"486 Juliana Place, Chesterfield, Alabama, 5914","Ullamco aute dolore enim ullamco reprehenderit voluptate mollit. Id exercitation aliquip sint enim nostrud. Ullamco magna ad deserunt sint officia. Non veniam id excepteur duis non cupidatat velit labore et laboris sunt mollit. Duis dolore velit eiusmod ipsum tempor veniam labore dolor. Sit aliqua velit culpa dolore incididunt.
",2016-11-12T06:41:38 +05:00,0,Algebra lineal,1.1734,1,Calculo diferencial,3.3713,2,POO,1.1749,3,CTD,4.3144
41,Wilkins,Navarro,38,male,wilkinsnavarro@pathways.com,+1 (905) 515-3532,"588 Ridge Boulevard, Heil, Minnesota, 7531","Do velit mollit irure consequat id elit labore ea voluptate laborum amet commodo officia proident. Sunt pariatur sit irure ut nulla Lorem cillum occaecat commodo pariatur mollit. Mollit in dolore nulla commodo est ipsum. Est proident tempor pariatur exercitation Lorem qui incididunt do do. Quis cillum officia nostrud aliqua elit est voluptate voluptate dolore laboris et enim. Aute consectetur est consectetur dolore sunt culpa ullamco velit id laborum. Occaecat voluptate excepteur officia deserunt excepteur sit nisi labore enim irure ut amet pariatur.
",2015-08-28T08:45:00 +05:00,0,Algebra lineal,1.4787,1,Calculo diferencial,3.6206,2,POO,3.2038,3,CTD,4.4156
42,Cline,Wright,33,male,clinewright@pathways.com,+1 (954) 535-3784,"421 Just Court, Otranto, New Mexico, 1549","Et aliqua proident velit enim eu fugiat irure qui sit dolor officia excepteur magna. Anim Lorem cillum et qui cupidatat adipisicing ea anim officia quis. Veniam elit sint ut tempor deserunt sunt mollit ullamco elit aliquip non ea anim.
",2017-03-02T12:37:12 +05:00,0,Algebra lineal,4.2528,1,Calculo diferencial,4.1542,2,POO,3.8806,3,CTD,0.7297
43,Ochoa,Boone,24,male,ochoaboone@pathways.com,+1 (981) 532-2226,"432 Farragut Road, Campo, Hawaii, 1837","Nulla mollit labore mollit eiusmod ut exercitation fugiat veniam aliquip velit nulla. Anim eiusmod do anim laborum anim. Do aute labore cupidatat amet dolor nulla adipisicing esse adipisicing aliqua qui elit cillum cupidatat.
",2018-09-20T02:13:26 +05:00,0,Algebra lineal,4.3276,1,Calculo diferencial,1.942,2,POO,4.1305,3,CTD,3.9945
44,Francisca,Whitley,28,female,franciscawhitley@pathways.com,+1 (983) 517-2213,"643 Aviation Road, Oneida, Indiana, 5691","Duis nisi elit elit reprehenderit. Sunt est aliqua ut voluptate irure non commodo ut sit. Officia aliqua magna magna aliquip magna nostrud veniam cupidatat nisi sit culpa officia non aliquip. Occaecat non dolor adipisicing mollit veniam eu in sint pariatur sunt consectetur laboris. Enim nulla cillum anim eu eiusmod duis velit reprehenderit ex commodo consequat culpa proident cillum. Tempor aliqua occaecat esse Lorem voluptate veniam pariatur esse eiusmod sit laboris culpa tempor nulla.
",2015-01-31T02:32:32 +05:00,0,Algebra lineal,3.1359,1,Calculo diferencial,3.6773,2,POO,0.442,3,CTD,2.0113
